ibge,id_mun,latitude,longitude,municipio,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
4302907,430290,-29.880288,-54.827728,Cacequi,17500,16000,16000,17000,17000,17000,16000,16000,16500,16500,16500,17000,16500,15000,16000,16500,14354,13967,14537,11608,11156,12293,12273
4303004,430300,-30.04582,-52.893413,Cachoeira do Sul,29975,33950,33600,34500,39600,41154,38423,37270,38600,39360,37560,41000,33444,32950,33420,33068,30929,30100,28720,25522,25037,26135,25582
4303103,430310,-29.950629,-51.093677,Cachoeirinha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4303202,430320,-27.768232,-51.664113,Cacique Doble,100,10,10,10,10,10,5,5,5,5,1,0,5,0,0,0,0,0,0,0,0,0,0
4303301,430330,-28.291075,-54.637887,Caibaté,215,205,205,205,105,75,75,75,75,50,0,0,0,30,25,30,25,30,30,32,30,30,30
4303400,430340,-27.280941,-53.431895,Caiçara,130,130,130,130,130,130,130,130,130,10,10,10,10,10,5,5,5,12,5,5,5,5,5
4303509,430350,-30.850704,-51.814601,Camaquã,26020,25220,28788,29000,29850,29850,29250,27825,31375,33022,31510,33100,33870,32442,35163,34300,35507,35400,32658,29590,28730,31160,31110
4303558,430355,-28.589238,-52.203799,Camargo,5,5,5,5,5,5,8,8,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0
4303673,430367,-28.796512,-51.095664,Campestre da Serra,15,10,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4303707,430370,-27.99169,-54.845329,Campina das Missões,6,6,6,6,10,5,5,3,0,0,2,2,2,2,2,2,2,2,1,0,0,0,0
4303806,430380,-27.711601,-52.633104,Campinas do Sul,20,6,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4303905,430390,-29.675685,-51.05887,Campo Bom,135,150,97,0,200,200,160,120,120,120,120,40,35,35,40,40,0,0,0,0,0,0,0
4304002,430400,-27.674493,-53.802814,Campo Novo,25,25,25,25,25,25,10,3,3,0,0,2,6,4,2,0,0,0,0,0,0,0,0
4304101,430410,-28.892132,-52.998915,Campos Borges,50,20,20,20,15,10,10,10,8,5,5,2,2,0,0,0,0,0,0,0,0,0,0
4304200,430420,-29.671285,-52.789668,Candelária,7270,7800,8005,8450,8560,8400,8200,8100,8000,8300,8056,8500,8590,8525,8650,8950,8850,8700,8700,7500,7000,6620,6320
4304309,430430,-27.951318,-54.752834,Cândido Godói,5,5,5,9,9,9,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4304358,430435,-31.56101,-53.677805,Candiota,1364,850,1250,932,1155,1346,900,900,900,1100,1100,1189,650,753,800,700,602,890,440,1100,900,245,170
4304408,430440,-29.357972,-50.814867,Canela,5,5,3,3,4,5,5,5,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0
4304507,430450,-31.39386,-52.676286,Canguçu,1210,1210,1210,1230,1240,750,750,750,780,890,890,825,890,775,740,1200,760,900,738,750,337,743,512
4304606,430460,-29.918697,-51.18103,Canoas,480,480,480,480,480,480,800,800,800,800,800,800,450,400,200,200,200,400,600,600,600,600,600
4304614,430461,-29.323525,-52.232383,Canudos do Vale,0,10,10,10,10,5,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0
4304622,430462,-28.125975,-51.395158,Capão Bonito do Sul,0,10,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4304630,430463,-29.761467,-50.020022,Capão da Canoa,150,150,150,150,450,450,450,450,300,300,300,150,0,0,0,5,48,48,150,150,0,0,0
4304655,430465,-28.931628,-54.554699,Capão do Cipó,0,0,100,100,50,70,45,30,30,23,7,0,0,0,0,0,0,0,0,0,0,0,0
4304663,430466,-31.766839,-52.487008,Capão do Leão,8520,8520,8520,8525,8525,7525,7025,7025,8181,8425,6997,7977,6622,7392,7319,7249,6464,7259,6597,6386,6167,6702,6850
4304689,430468,-29.701945,-51.321769,Capela de Santana,750,750,750,750,750,750,950,950,950,950,950,950,1800,1800,1800,1800,1800,1800,1800,1850,1850,1850,1850
4304697,430469,-29.2695,-51.985969,Capitão,5,5,1,1,1,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
4304671,430467,-30.14966,-50.508808,Capivari do Sul,11125,11125,11125,11493,15517,15748,12310,12610,12611,12263,14519,14744,13271,15243,15078,15200,15100,14684,11902,11168,9664,10203,9988
